,0
256,0.030994360902255665
257,0.03121482412060298
258,0.030900966183574838
259,0.031228395061728413
260,0.031203048780487887
261,0.03127804878048782
262,0.031418491484184935
263,0.03134782608695656
264,0.03150609756097566
265,0.0314483568075118
266,0.03156354916067144
267,0.03152824519230774
268,0.03158002336448606
269,0.031636038186157484
270,0.0314928909952606
271,0.031525462962962915
272,0.031338541666666726
273,0.031464285714285736
274,0.03127962085308066
275,0.031226809954751137
276,0.03131960556844554
277,0.03119375000000006
278,0.0313024193548388
279,0.0310635011441648
280,0.030884529147982093
281,0.030908830275229345
282,0.030690878378378344
283,0.030814898419864494
284,0.030622246696035152
285,0.030507777777777814
286,0.030612811791383195
287,0.03043061674008798
288,0.030550331858406957
289,0.030460152838427793
290,0.030469354838709526
291,0.03053595890410957
292,0.030347689075630173
